"county","indicator","Unit","Date","Value"
"Kikuyu","Number of Households","Number","2019","60686"
"Kikuyu","Average Household size","","2019","3"
"Kiambu","Number of Households","Number","2019","47275"
"Kiambu","Average Household size","","2019","3"
"Kiambaa","Number of Households","Number","2019","80332"
"Kiambaa","Average Household size","","2019","3"
"Kabete","Number of Households","Number","2019","66710"
"Kabete","Average Household size","","2019","3"
"Juja","Number of Households","Number","2019","104301"
"Juja","Average Household size","","2019","3"
"Githunguri","Number of Households","Number","2019","49426"
"Githunguri","Average Household size","","2019","3"
"Gatundu South","Number of Households","Number","2019","35609"
"Gatundu South","Average Household size","","2019","3"
"Gatundu North","Number of Households","Number","2019","31472"
"Gatundu North","Average Household size","","2019","3"
"Kiambu","Number of Households","Number","2019","795241"
"Kiambu","Average Household size","","2019","3"
"Aberdare Forest","Number of Households","Number","2019","33"
"Aberdare Forest","Average Household size","","2019","1"
"Kandara","Number of Households","Number","2019","50704"
"Kandara","Average Household size","","2019","3"
"Kigumo","Number of Households","Number","2019","40552"
"Kigumo","Average Household size","","2019","3"
"Gatanga","Number of Households","Number","2019","55461"
"Gatanga","Average Household size","","2019","3"
"Murang'a South","Number of Households","Number","2019","55998"
"Murang'a South","Average Household size","","2019","3"
"Kahuro","Number of Households","Number","2019","26930"
"Kahuro","Average Household size","","2019","3"
"Mathioya","Number of Households","Number","2019","28400"
"Mathioya","Average Household size","","2019","3"
"Kangema","Number of Households","Number","2019","25293"
"Kangema","Average Household size","","2019","3"
"Murang'a East","Number of Households","Number","2019","34734"
"Murang'a East","Average Household size","","2019","3"
"Murang'a","Number of Households","Number","2019","318105"
"Murang'a","Average Household size","","2019","3"
"Mt Kenya Forest","Number of Households","Number","2019","23"
"Mt Kenya Forest","Average Household size","","2019","2"
"Mwea West","Number of Households","Number","2019","34720"
"Mwea West","Average Household size","","2019","3"
"Mwea East","Number of Households","Number","2019","46340"
"Mwea East","Average Household size","","2019","3"
"Kirinyaga West","Number of Households","Number","2019","38309"
"Kirinyaga West","Average Household size","","2019","3"
"Kirinyaga East","Number of Households","Number","2019","44571"
"Kirinyaga East","Average Household size","","2019","3"
"Kirinyaga Central","Number of Households","Number","2019","40225"
"Kirinyaga Central","Average Household size","","2019","3"
"Kirinyaga","Number of Households","Number","2019","204188"
"Kirinyaga","Average Household size","","2019","3"
"Aberdare Forest","Number of Households","Number","2019","79"
"Aberdare Forest","Average Household size","","2019","1"
"Mt Kenya Forest","Number of Households","Number","2019","101"
"Mt Kenya Forest","Average Household size","","2019","2"
"Nyeri Central","Number of Households","Number","2019","49945"
"Nyeri Central","Average Household size","","2019","3"
"Mukurwe-ini","Number of Households","Number","2019","27040"
"Mukurwe-ini","Average Household size","","2019","3"
"Nyeri South","Number of Households","Number","2019","28228"
"Nyeri South","Average Household size","","2019","3"
"Mathira West","Number of Households","Number","2019","19020"
"Mathira West","Average Household size","","2019","3"
"Mathira East","Number of Households","Number","2019","35044"
"Mathira East","Average Household size","","2019","3"
"Kieni West","Number of Households","Number","2019","27619"
"Kieni West","Average Household size","","2019","3"
"Kieni East","Number of Households","Number","2019","36835"
"Kieni East","Average Household size","","2019","3"
"Tetu","Number of Households","Number","2019","24139"
"Tetu","Average Household size","","2019","3"
"Nyeri","Number of Households","Number","2019","248050"
"Nyeri","Average Household size","","2019","3"
"Aberdare National Park","Number of Households","Number","2019","11"
"Aberdare National Park","Average Household size","","2019","1"
"Nyandarua North","Number of Households","Number","2019","27917"
"Nyandarua North","Average Household size","","2019","4"
"Nyandarua West","Number of Households","Number","2019","29008"
"Nyandarua West","Average Household size","","2019","3"
"Nyandarua Central","Number of Households","Number","2019","21942"
"Nyandarua Central","Average Household size","","2019","3"
"Kipipiri","Number of Households","Number","2019","25200"
"Kipipiri","Average Household size","","2019","4"
"Mirangine","Number of Households","Number","2019","18816"
"Mirangine","Average Household size","","2019","4"
"Kinangop","Number of Households","Number","2019","30970"
"Kinangop","Average Household size","","2019","4"
"Nyandarua South","Number of Households","Number","2019","25822"
"Nyandarua South","Average Household size","","2019","4"
"Nzaui","Number of Households","Number","2019","30819"
"Nzaui","Average Household size","","2019","4"
"Nyandarua","Number of Households","Number","2019","179686"
"Nyandarua","Average Household size","","2019","4"
"Mukaa","Number of Households","Number","2019","28185"
"Mukaa","Average Household size","","2019","4"
"Mbooni West","Number of Households","Number","2019","24833"
"Mbooni West","Average Household size","","2019","4"
"Makueni","Number of Households","Number","2019","34479"
"Makueni","Average Household size","","2019","4"
"Makindu","Number of Households","Number","2019","21756"
"Makindu","Average Household size","","2019","4"
"Mbooni East","Number of Households","Number","2019","23734"
"Mbooni East","Average Household size","","2019","4"
"Kilungu","Number of Households","Number","2019","14586"
"Kilungu","Average Household size","","2019","4"
"Kibwezi","Number of Households","Number","2019","47912"
"Kibwezi","Average Household size","","2019","4"
"Kathonzweni","Number of Households","Number","2019","18365"
"Kathonzweni","Average Household size","","2019","4"
"Makueni","Number of Households","Number","2019","244669"
"Makueni","Average Household size","","2019","4"
"Yatta","Number of Households","Number","2019","46153"
"Yatta","Average Household size","","2019","4"
"Mwala","Number of Households","Number","2019","45840"
"Mwala","Average Household size","","2019","4"
"Matungulu","Number of Households","Number","2019","44454"
"Matungulu","Average Household size","","2019","4"
"Masinga","Number of Households","Number","2019","36251"
"Masinga","Average Household size","","2019","4"
"Machakos","Number of Households","Number","2019","50979"
"Machakos","Average Household size","","2019","3"
"Kathiani","Number of Households","Number","2019","28730"
"Kathiani","Average Household size","","2019","4"
"Kangundo","Number of Households","Number","2019","26142"
"Kangundo","Average Household size","","2019","4"
"Kalama","Number of Households","Number","2019","14182"
"Kalama","Average Household size","","2019","4"
"Athi River","Number of Households","Number","2019","109735"
"Athi River","Average Household size","","2019","3"
"Machakos","Number of Households","Number","2019","402466"
"Machakos","Average Household size","","2019","4"
"Tseikuru","Number of Households","Number","2019","8579"
"Tseikuru","Average Household size","","2019","5"
"Thagicu","Number of Households","Number","2019","3289"
"Thagicu","Average Household size","","2019","5"
"Nzambani","Number of Households","Number","2019","11276"
"Nzambani","Average Household size","","2019","4"
"Mwingi East","Number of Households","Number","2019","18730"
"Mwingi East","Average Household size","","2019","5"
"Mwingi Central","Number of Households","Number","2019","26753"
"Mwingi Central","Average Household size","","2019","4"
"Mutomo","Number of Households","Number","2019","23044"
"Mutomo","Average Household size","","2019","5"
"Mutitu North","Number of Households","Number","2019","4929"
"Mutitu North","Average Household size","","2019","4"
"Mutitu","Number of Households","Number","2019","11521"
"Mutitu","Average Household size","","2019","5"
"Mumoni","Number of Households","Number","2019","6496"
"Mumoni","Average Household size","","2019","5"
"Migwani","Number of Households","Number","2019","19096"
"Migwani","Average Household size","","2019","4"
"Matinyani","Number of Households","Number","2019","11513"
"Matinyani","Average Household size","","2019","4"
"Lower Yatta","Number of Households","Number","2019","15454"
"Lower Yatta","Average Household size","","2019","4"
"Kyuso","Number of Households","Number","2019","15993"
"Kyuso","Average Household size","","2019","5"
"Kitui West","Number of Households","Number","2019","17497"
"Kitui West","Average Household size","","2019","4"
"Kitui Central","Number of Households","Number","2019","29057"
"Kitui Central","Average Household size","","2019","4"
"Kisasi","Number of Households","Number","2019","10866"
"Kisasi","Average Household size","","2019","4"
"Katulani","Number of Households","Number","2019","12170"
"Katulani","Average Household size","","2019","4"
"Ikutha","Number of Households","Number","2019","16679"
"Ikutha","Average Household size","","2019","5"
"Kitui","Number of Households","Number","2019","262942"
"Kitui","Average Household size","","2019","4"
"Mt Kenya Forest","Number of Households","Number","2019","19"
"Mt Kenya Forest","Average Household size","","2019","1"
"Mbeere North","Number of Households","Number","2019","29528"
"Mbeere North","Average Household size","","2019","4"
"Mbeere South","Number of Households","Number","2019","46065"
"Mbeere South","Average Household size","","2019","4"
"Embu West","Number of Households","Number","2019","43153"
"Embu West","Average Household size","","2019","3"
"Embu North","Number of Households","Number","2019","24300"
"Embu North","Average Household size","","2019","3"
"Embu East","Number of Households","Number","2019","39678"
"Embu East","Average Household size","","2019","3"
"Embu","Number of Households","Number","2019","182743"
"Embu","Average Household size","","2019","3"
